geometry,amenity,healthcare,name_left,addr:street,addr:city,addr:housenumber,addr:postcode,contact:phone,healthcare:speciality,name:es_left,operator,website,wikidata_left,opening_hours,phone,layer,check_date,emergency,operator:type,building,name:ca_left,name:etymology:wikidata,old_name_left,wheelchair,alt_name_left,alt_name:es,short_name,wikipedia_left,operator:wikidata,building:levels,building:levels:underground,rooms,type_left,element_right,id_right,admin_level,boundary,source,Barrio,name:ca_right,name:es_right,type_right,wikidata_right,wikipedia_right,ref,alt_name_right,old_name_right,alt_name:ca
"POLYGON ((-0.3950349 39.4546432, -0.3946534 39.4545005, -0.394629 39.4544918, -0.3944689 39.4544346, -0.3941786 39.4543282, -0.3941231 39.4543079, -0.3937868 39.4541851, -0.3937232 39.4541617, -0.3935536 39.4540954, -0.3938954 39.4535707, -0.3940007 39.4534167, -0.3940293 39.4533748, -0.3939165 39.4533388, -0.3934503 39.453217, -0.3934707 39.4531878, -0.3935024 39.45314, -0.3936216 39.4529612, -0.3936222 39.4529189, -0.3930637 39.4526919, -0.3930365 39.4526817, -0.3930598 39.4526441, -0.3931216 39.4525509, -0.3931884 39.4524503, -0.3932253 39.4523946, -0.3934207 39.4521001, -0.3935476 39.4519193, -0.3935941 39.4518525, -0.3943804 39.4519488, -0.3945784 39.4519751, -0.3946805 39.4519898, -0.3948804 39.4520145, -0.3949718 39.4520254, -0.395247 39.4520582, -0.3953517 39.4520707, -0.3954968 39.452088, -0.3956637 39.4521132, -0.3956026 39.452446, -0.3954346 39.4524205, -0.3953979 39.4526045, -0.395379 39.452715, -0.395368 39.4527765, -0.3952071 39.4536712, -0.3952728 39.4538002, -0.3952756 39.453823, -0.3952689 39.4538951, -0.3953269 39.4539811, -0.3953546 39.4540587, -0.3953519 39.454076, -0.3953405 39.4541072, -0.3952657 39.4542384, -0.3952357 39.454291, -0.395106 39.4545185, -0.3950349 39.4546432))",hospital,hospital,Hospital Universitari Doctor Peset,Avinguda de Gaspar Aguilar,,90,,,,,,,Q10996436,,,,,,,,Hospital Universitari Doctor Peset,Q10996436,,,,,,ca:Hospital Doctor Peset,,,,,,relation,14731861.0,10,administrative,,Favara,Favara,,boundary,Q8960964,ca:Favara (barri de València),,,,
"POLYGON ((-0.3879004 39.4608055, -0.3878087 39.4607584, -0.3877812 39.4607441, -0.3876724 39.4606882, -0.3876632 39.4606835, -0.3876415 39.4606724, -0.387476 39.460865, -0.3874739 39.4609097, -0.3874728 39.4609321, -0.3874541 39.4609301, -0.3873941 39.460849, -0.3873719 39.4608586, -0.3873421 39.4608717, -0.3872716 39.4609023, -0.3872599 39.4609074, -0.3871734 39.4609449, -0.3870212 39.4607385, -0.3869989 39.4607082, -0.3868038 39.4604436, -0.3870045 39.4603538, -0.3870112 39.4603508, -0.3870788 39.4603748, -0.3871093 39.4604202, -0.387121 39.4604166, -0.387236 39.4605714, -0.3872816 39.4605505, -0.3872786 39.4605443, -0.3873191 39.4605271, -0.3873492 39.4605657, -0.3874346 39.4605269, -0.3875361 39.4605495, -0.3875887 39.4606205, -0.3876257 39.4606055, -0.387576 39.4605357, -0.3877686 39.4605927, -0.3878251 39.4606244, -0.3878365 39.4606121, -0.3878676 39.4606227, -0.3879151 39.460639, -0.3879397 39.4606474, -0.3879877 39.4606637, -0.3880158 39.4606734, -0.3879763 39.4607186, -0.3879052 39.4607997, -0.3879004 39.4608055))",hospital,hospital,Hospital Vithas Valencia Consuelo,,,,,,,,,,,,+34 963 42 33 82,,,,,hospital,,,,,,,,,,9,1,,,relation,14766985.0,10,administrative,,la Raïosa,,,boundary,Q2891373,ca:La Raïosa,,,,
"POLYGON ((-0.3370523 39.4535181, -0.3365361 39.4535816, -0.3365075 39.4534472, -0.3365273 39.4534448, -0.3369692 39.4533912, -0.3370242 39.4533846, -0.3370523 39.4535181))",hospital,hospital,Hospital ISMKE,Carrer de Suïssa,València,11,46024,,trauma;physiatry;rheumatology,,Ribera Salud,https://www.imske.com,,,+34 963 69 00 00,,,,private,hospital,,,,,,,,,,,,18,,relation,14785201.0,10,administrative,,la Punta,la Punta,,boundary,Q585354,ca:La Punta (València),,,,
"POLYGON ((-0.3735723 39.4440563, -0.3735771 39.4440267, -0.3736026 39.443879, -0.3736791 39.4434283, -0.3736903 39.4433611, -0.3737215 39.4431764, -0.3737273 39.4431436, -0.3737643 39.4429265, -0.3741098 39.4429595, -0.3741252 39.4428622, -0.3741272 39.4428498, -0.3741327 39.4428169, -0.3741637 39.4426336, -0.3741775 39.442543, -0.3752319 39.4426447, -0.3753322 39.4426595, -0.3754663 39.4426729, -0.3758321 39.44271, -0.3759662 39.4427235, -0.3763313 39.4427603, -0.3764665 39.4427738, -0.3768319 39.4428106, -0.3769659 39.442824, -0.3786723 39.4429965, -0.3784499 39.4443283, -0.3780317 39.4442868, -0.3776679 39.4442511, -0.3770922 39.4441922, -0.3768851 39.4441711, -0.3768489 39.4443834, -0.3767572 39.4443748, -0.3766267 39.4443626, -0.3762582 39.444323, -0.3761282 39.4443102, -0.375758 39.4442737, -0.375628 39.4442609, -0.3752575 39.4442246, -0.375128 39.4442109, -0.3747565 39.4441752, -0.3746264 39.4441624, -0.3742021 39.4441199, -0.3740721 39.4441065, -0.3739242 39.4440914, -0.3737036 39.4440696, -0.3735723 39.4440563))",hospital,hospital,Hospital Universitari i Politècnic La Fe,,,,,,,Hospital Universitario y Politécnico La Fe,,,Q11926108,,,,,yes,,,Hospital Universitari i Politècnic La Fe,,,,Hospital Universitari i Politècnic La Fe de Valencia,Hospital Universitario y Politécnico La Fe de Valencia,Hospital La Fe,ca:Hospital Universitari i Politècnic La Fe,,,,,,relation,14785203.0,10,administrative,,Malilla,Malilla,,boundary,Q9027164,ca:Malilla,,,,
POINT (-0.3253542 39.4752239),hospital,hospital,Hospital Malva-rosa,Carrer d'Isabel de Villena,València,2,46011,+34 96 192 54 00,gynaecology;ophthalmology;plastic_surgery;surgery,Hospital Malvarrosa,Generalitat Valenciana,http://clinicomalvarrosa.san.gva.es/ca/hospital-malvarrosa,Q64443013,,,,,,,,,,,,,,,,,,,,,relation,14876880.0,10,administrative,,la Malva-rosa,la Malva-rosa,,boundary,Q11690389,ca:La Malva-rosa,,,,
"POLYGON ((-0.3316015 39.4766149, -0.3315989 39.4766687, -0.3313923 39.4766418, -0.3314057 39.4767267, -0.3313011 39.4767723, -0.3313235 39.4769555, -0.3313371 39.4770666, -0.3313523 39.4771914, -0.3313575 39.477234, -0.3312981 39.4775002, -0.3312682 39.4776342, -0.3312582 39.4776791, -0.3300325 39.4776025, -0.3300459 39.4766066, -0.3316015 39.4766149))",hospital,hospital,Hospital Vithas Nisa Valencia al Mar,Carrer del Riu Tajo,,1,,,psychiatry,,Hospitales Nisa,https://www.hospitales.nisa.es/hospital-nisa-valencia-al-mar_2_H.aspx,,,+34 963 35 25 00,,,yes,,,,,,,,,,,,,,,,relation,14876880.0,10,administrative,,la Malva-rosa,la Malva-rosa,,boundary,Q11690389,ca:La Malva-rosa,,,,
POINT (-0.335667 39.460095),hospital,centre,Centro de Especialidades El Grao,,,,,,,,,http://clinicomalvarrosa.san.gva.es/centro-de-especialidades-el-grao,,"Mo, We-Fr 08:00-15:00, 08:00-18:30",+34 963469560,,,,,,,,,,,,,,,,,,,relation,14876882.0,10,administrative,,el Grau,el Grau,El Grao,boundary,Q3078478,ca:El Grau de València,,,,
"POLYGON ((-0.3364807 39.4609735, -0.336377 39.4609426, -0.3362834 39.4609148, -0.3362331 39.4608999, -0.3362807 39.4604732, -0.3366557 39.4605198, -0.336529 39.4609878, -0.3364807 39.4609735))",hospital,hospital,Instituto Social de la Marina - Casa del Mar,,,,,,,,,,,,,,,,,yes,,,,,,,,,,,,,,relation,14876882.0,10,administrative,,el Grau,el Grau,El Grao,boundary,Q3078478,ca:El Grau de València,,,,
"POLYGON ((-0.351458 39.4696061, -0.3511108 39.4703874, -0.3511014 39.4703846, -0.3506097 39.4702386, -0.3499174 39.470033, -0.3496866 39.4699644, -0.3499373 39.4693399, -0.349969 39.4692727, -0.3500058 39.4691943, -0.3504171 39.4693113, -0.3511133 39.4695093, -0.3514287 39.4695975, -0.351458 39.4696061))",hospital,hospital,Hospital Casa de la Salud,,,,,,,,,,Q30280018,,,,,,,,Hospital Casa de la Salud,,,,,,,,,,,,,relation,14891694.0,10,administrative,,Albors,Albors,,boundary,Q586053,ca:Albors,,,,
POINT (-0.350731 39.4651856),hospital,hospital,Clinica Dental Nord,Avinguda del Port,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,relation,14891696.0,10,administrative,,Camí Fondo,Camí Fondo,,boundary,Q8261289,ca:Camí Fondo,,,,
