geometry,addr:city,addr:housenumber,addr:postcode,addr:street,amenity,name_left,name:ca_left,short_name,operator:type,wikidata_left,operator,wikimedia_commons,source_left,source:date,website,alt_name_left,official_name,opening_hours,phone,name:es_left,email,contact:email,contact:phone,contact:website,craft,ref_left,after_school,wheelchair,denomination,grades,religion,internet_access,isced:level,name:etymology:wikidata,operator:wikidata,wikipedia_left,building,building:levels,nohousenumber,alt_name:ca_left,alt_name:es,short_name:es,barrier,old_name_left,old_name:ca,old_name:es,contact:fax,name:de,polling_station,max_age,min_age,designation,description,check_date,fax,name:en,short_name:ca,note,start_date,addr:country,contact:facebook,pedagogy,school,addr:city:ca,addr:city:es,addr:street:ca,addr:street:es,ele,image,addr:housename,type_left,roof:levels,element_right,id_right,admin_level,boundary,source_right,Barrio,name:ca_right,name:es_right,type_right,wikidata_right,wikipedia_right,ref_right,alt_name_right,old_name_right,alt_name:ca_right
POINT (-0.4093245477094684 39.47068967836371),València,142,46014,Avinguda del Cid,school,Colegio Pureza de María,Col·legi Puresa de Maria,,private,Q60768374,Congregación Religiosas de la Pureza de María,,,,,,,,,,,,,,,,,,catholic,,christian,,,Q60768374,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,relation,14705516.0,10,administrative,Padró Municipal d'Habitants;Ajuntament de València,Soternes,Soternes,Soternes,boundary,Q9079092,es:Soternes,,,,
POINT (-0.3692330550886581 39.46760707769678),,25,46004,Calle de Isabel la Católica,school,Colegio San Vicente Ferrer,,,religious,,,,,,https://dominicoscoval.org/,,,,+34 963536600,Colegio San Vicente Ferrer,,,,,,,,,,,christian,,,Q317131,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,relation,14727509.0,10,administrative,,el Pla del Remei,el Pla del Remei,,boundary,,,,,,
POINT (-0.3740586307909878 39.46671386238525),València,3,,Carrer de Ciril Amorós,school,Col·legi d'Educació Infantil i Primària San Juan de Ribera,Col·legi d'Educació Infantil i Primària San Juan de Ribera,CEIP San Juan de Ribera,,Q108135679,,,,,https://mestreacasa.gva.es/web/sanjuanderibera/ini,,,,,Colegio de Educación Infantil y Primaria San Juan de Ribera,,,,,,46012151,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,relation,14727509.0,10,administrative,,el Pla del Remei,el Pla del Remei,,boundary,,,,,,
POINT (-0.3617261741465747 39.463492300179254),,,,,school,Colegio Nuestra Señora de Loreto,Col·legi Nostra Senyora de Loreto,,,Q93980898,,,Catastro Spain,,,,,,,,,,,,,,,,,,,,,Q93980898,,,,,,,,,,,,,,,,,,,,2024-09-29,,,,,,,,,,,,,,,,,,,relation,14727510.0,10,administrative,,Gran Via,Gran Via,,boundary,Q8964912,ca:Gran Via (barri de València),,,,
POINT (-0.3625983189904278 39.464810332844955),,,,,school,Colegio Sagrado Corazón Hermanos Maristas,,,,Q108422729,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,relation,14727510.0,10,administrative,,Gran Via,Gran Via,,boundary,Q8964912,ca:Gran Via (barri de València),,,,
POINT (-0.3682438924508518 39.4649793851868),,,,,school,Institut d'Educació Secundària Sant Vicent Ferrer,Institut d'Educació Secundària Sant Vicent Ferrer,IES Sant Vicent Ferrer,,Q107144048,,,Catastro Spain,,,,,,,Instituto de Educación Secundaria San Vicente Ferrer,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,relation,14727510.0,10,administrative,,Gran Via,Gran Via,,boundary,Q8964912,ca:Gran Via (barri de València),,,,
POINT (-0.374894356643751 39.457741425186796),València,53-57,46006,Avenida Peris y Valero,school,British School of Valencia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,relation,14727511.0,10,administrative,,Russafa,Russafa,Ruzafa,boundary,Q9071485,ca:Russafa,,,,
POINT (-0.3741170396781843 39.46134265564479),,,,,school,Col·legi d'Educació Infantil i Primària Alejandra Soler,,CEIP Alejandra Soler,,Q108136593,,,Catastro Spain,,,,,,,,,,,,,,,,,,,,,Q21001071,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,relation,14727511.0,10,administrative,,Russafa,Russafa,Ruzafa,boundary,Q9071485,ca:Russafa,,,,
POINT (-0.3697074615407771 39.46137256045736),,,,,school,Col·legi d'Educació Infantil i Primària Jaume Balmes,Col·legi d'Educació Infantil i Primària Jaume Balmes,CEIP Jaume Balmes,,,,,,,,,,,,Colegio de Educación Infantil y Primaria Jaume Balmes,,,,,,,,,,,,,,Q2439397,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,relation,14727511.0,10,administrative,,Russafa,Russafa,Ruzafa,boundary,Q9071485,ca:Russafa,,,,
POINT (-0.3686133213113777 39.463077144981995),,,,,school,Centro Privado de Enseñanza San José Hermanas Franciscanas de la Inmaculada,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,relation,14727511.0,10,administrative,,Russafa,Russafa,Ruzafa,boundary,Q9071485,ca:Russafa,,,,
POINT (-0.3685393326972441 39.46345363579815),València,46,46005,Avinguda del Regne de València,school,Centre Integrat Públic de Formació Professional Vicente Blasco Ibañez,Centre Integrat Públic de Formació Professional Vicente Blasco Ibañez,CIPFP Vicente Blasco Ibáñez,,Q107185165,Generalitat Valenciana,,,,,,,,,,,,,,,,,,,,,,,Q219646,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,relation,14727511.0,10,administrative,,Russafa,Russafa,Ruzafa,boundary,Q9071485,ca:Russafa,,,,
POINT (-0.3691551539870666 39.46363891911944),València,40,46005,Avinguda del Regne de València,school,Escuelas Profesionales de Artesanos,,,,,,,,,https://escuelasdeartesanos.es/,,,,+34 963 746 592,,secretaria@escuelasdeartesanos.com,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,+34 963 746 592,,,,,,,,,,,,,,,,,,relation,14727511.0,10,administrative,,Russafa,Russafa,Ruzafa,boundary,Q9071485,ca:Russafa,,,,
POINT (-0.3857856 39.4654856),,,,,school,Colegio Nuestra Señora del Socorro,,,,Q108139999,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,relation,14727567.0,10,administrative,,Arrancapins,Arrancapins,,boundary,Q8204897,ca:Arrancapins,,,,
POINT (-0.3824489812746437 39.46470672353701),,,,Carrer d'Albacete,school,Centro Privado De Enseñanza Santo Tomás De Villanueva,,,,,,,,,,,,,,,,,,,,,,,,,,,,Q2166628,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,relation,14727567.0,10,administrative,,Arrancapins,Arrancapins,,boundary,Q8204897,ca:Arrancapins,,,,
POINT (-0.3844535516227336 39.467963832634986),,,,,school,Col·legi d'Educació Infantil i Primària Lluís Vives,Col·legi d'Educació Infantil i Primària Lluís Vives,CEIP Lluís Vives,public,,,,,,,,,,,Colegio de Educación Infantil y Primaria Lluís Vives,,,,,,,,,,,,,,Q316357,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,relation,14727567.0,10,administrative,,Arrancapins,Arrancapins,,boundary,Q8204897,ca:Arrancapins,,,,
POINT (-0.388589856914018 39.468503062434806),València,18,46008,Carrer d'Alberic,school,Institut d'Educació Secundària Abastos,Institut d'Educació Secundària Abastos,IES Abastos,public,Q107098487,Generalitat Valenciana,,local knowledge;streetlevel imagery;aerial imagery;gps,,https://portal.edu.gva.es/iesabastos/,,,,+34 961 20 58 75,Instituto de Educación Secundaria Abastos,46025040@gva.es,,,,,46025040,,yes,,7-12,none,no,,Q8200942,Q2477285,,,,,,,,,,,,,,,,,,,,+34 961 20 58 76,,,,,,,,,,,,,0,https://external-content.duckduckgo.com/iu/?u=https%3A%2F%2Fs3-media1.fl.yelpcdn.com%2Fbphoto%2FwTZIQNstFdSEnni8zUzPHA%2Fo.jpg&f=1&nofb=1,,,,relation,14727567.0,10,administrative,,Arrancapins,Arrancapins,,boundary,Q8204897,ca:Arrancapins,,,,
POINT (-0.3866491873422793 39.47074616820496),,,,,school,Centre Concertat d'Esenyament Escolàpies,,,,,,,,,,,,,,,,,,,,,,,catholic,,christian,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,relation,14727567.0,10,administrative,,Arrancapins,Arrancapins,,boundary,Q8204897,ca:Arrancapins,,,,
POINT (-0.3910906 39.4746773),,,,,school,La Aurora,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,relation,14727568.0,10,administrative,,la Petxina,la Petxina,,boundary,Q9018918,ca:La Roqueta (barri de València),,,,
POINT (-0.3885008044905385 39.47061981737305),,,,,school,Col·legi d'Educació Infantil i Primària Teodoro Llorente,Col·legi d'Educació Infantil i Primària Teodoro Llorente,CEIP Teodoro Llorente,,Q108135687,,,,,,,,,,,,,,https://portal.edu.gva.es/ceipteodorollorente,,,,,,,,,,,,,,,,,,,,Grupo Escolar Teodoro Llorente,,,,,,,,,,,,,,,,,,,,,,,,,,,,,relation,14727568.0,10,administrative,,la Petxina,la Petxina,,boundary,Q9018918,ca:La Roqueta (barri de València),,,,
POINT (-0.393989886934197 39.47370070013335),,,,,school,Colegio San José de la Montaña,Col·legi de Sant Josep de la Muntanya,,,Q95478917,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,relation,14727568.0,10,administrative,,la Petxina,la Petxina,,boundary,Q9018918,ca:La Roqueta (barri de València),,,,
POINT (-0.3922240066623662 39.47314460833325),,,,,school,Colegio San Pedro Pascual,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,relation,14727568.0,10,administrative,,la Petxina,la Petxina,,boundary,Q9018918,ca:La Roqueta (barri de València),,,,
POINT (-0.3877973504823232 39.47253629462392),,,,,school,Colegio Jesús-María Fernando el Católico,,,,Q108425917,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,relation,14727568.0,10,administrative,,la Petxina,la Petxina,,boundary,Q9018918,ca:La Roqueta (barri de València),,,,
POINT (-0.3843972343693793 39.47725286746045),,153,46008,Carrer de Guillem de Castro,school,Col·legi d'Educació Infantil i Primària Cervantes,Col·legi d'Educació Infantil i Primària Cervantes,CEIP Cervantes,,Q108135685,,,,,https://portal.edu.gva.es/cervantesvalencia/,,,Mo-Th 09:00-17:00; Fr 09:00-15:30,,Colegio de Educación Infantil y Primaria Cervantes,46012343@edu.gva.es,,,,,46012343,,,,,,,,Q5682,,,,,,,,,,,,,,,,,,,,,,Cervantes Primary School,,,,,,,,,,,,,,,,,relation,14727570.0,10,administrative,,el Botànic,el Botànic,,boundary,Q11004084,ca:El Botànic,,,,
POINT (-0.4012432347904646 39.47712001487288),,,,,school,Col·legi d'Educació Infantil i Primària Francisco Giner de los Ríos,Col·legi d'Educació Infantil i Primària Francisco Giner de los Ríos,CEIP Francisco Giner de los Ríos,public,Q108422481,Generalitat Valenciana,,,,https://mestreacasa.gva.es/web/ginerdelosrios,,,,+34 962 56 60 20,Colegio de Educación Infantil y Primaria Francisco Giner de los Ríos,,,,,,46016580,,,,,,,,Q761732,Q2477285,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,relation,14727656.0,10,administrative,,Sant Pau,Sant Pau,,boundary,Q9073969,ca:Sant Pau (barri de València),,,,
POINT (-0.3999907210077161 39.48696264400236),,1,46015,Avenida Cortes Valencianas,school,Escuelas de San José - Jesuitas,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,relation,14727656.0,10,administrative,,Sant Pau,Sant Pau,,boundary,Q9073969,ca:Sant Pau (barri de València),,,,
POINT (-0.402271449773841 39.488449072301464),València,40,46015,Carrer del Pare Barranco,school,Colegio Sagrada Familia,,,,,,,,,https://sfamiliav.hhdc.net,,,,,,,,,,,,,,catholic,0-3,christian,,,,,,,,,,,,,,,,,,,,,,Perteneciente a la Fundación Educativa Madre Micaela HHDC,,,,,,,,,,,,,,,,,,,,relation,14727656.0,10,administrative,,Sant Pau,Sant Pau,,boundary,Q9073969,ca:Sant Pau (barri de València),,,,
POINT (-0.4021081682273613 39.489616976223694),,1,46015,Carrer de Sant Clement,school,Colegio Niño Jesús,,,,,,,,,,,,,,,,,,,,46015231,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,relation,14727656.0,10,administrative,,Sant Pau,Sant Pau,,boundary,Q9073969,ca:Sant Pau (barri de València),,,,
